DATE,CUSIP,ISIN,SEDOL,NAME,TICKER,MARKET_VALUE_LOCAL,MARKET_VALUE_BASE,FUND_WEIGHT,SHARES_HELD,COUPON,MATURITY_DATE,SECTOR,COUNTRY
10/31/2019,J92676113,JP3633400001,6900643,TOYOTA MOTOR CORP COMMON STOCK JPY,7203,"88,20,503.82","81,592.01",0.9722,"1,170",,01-01-1900,Consumer Discretionary,JAPAN
10/31/2019,H57312649,CH0038863350,7123870,NESTLE SA COMMON STOCK CHF 0.1,,"79,634.26","80,703.59",0.9617,756,,01-01-1900,Consumer Staples,SWITZERLAND
10/31/2019,G4634U169,GB0005405286,540528,HSBC HOLDINGS PLC COMMON STOCK GBP 0.5,,"52,704.29","68,199.35",0.8127,"9,040",,01-01-1900,Financials,UNITED KINGDOM
10/31/2019,G12793108,GB0007980591,798059,BP PLC COMMON STOCK GBP 0.25,,"43,867.69","56,764.80",0.6764,"8,965",,01-01-1900,Energy,UNITED KINGDOM
10/31/2019,F92124100,FR0000120271,B15C557,TOTAL SA COMMON STOCK EUR 2.5,,"50,537.57","56,382.24",0.6718,"1,072",,01-01-1900,Energy,FRANCE
10/31/2019,H5820Q150,CH0012005267,7103065,NOVARTIS AG COMMON STOCK CHF 0.5,,"55,433.97","56,178.33",0.6694,644,,01-01-1900,Health Care,SWITZERLAND
10/31/2019,G7690A100,GB00B03MLX29,B03MLX2,ROYAL DUTCH SHELL PLC COMMON STOCK GBP 0.07,,"41,404.06","53,576.86",0.6384,"1,854",,01-01-1900,Energy,UNITED KINGDOM
10/31/2019,H69293217,CH0012032048,7110388,ROCHE HOLDING AG COMMON STOCK CHF 0,,"50,544.05","51,222.75",0.6104,170,,01-01-1900,Health Care,SWITZERLAND
10/31/2019,G7690A118,GB00B03MM408,B03MM40,ROYAL DUTCH SHELL PLC COMMON STOCK GBP 0.07,,"36,141.82","46,767.52",0.5573,"1,629",,01-01-1900,Energy,UNITED KINGDOM
10/31/2019,D03080112,DE0008404005,5231485,ALLIANZ SE COMMON STOCK EUR 0,,"40,278.57","44,936.78",0.5355,184,,01-01-1900,Financials,GERMANY
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
